selection1_name,selection1_id
Crucero del Norte,112909
Dalkurd FF,113876
FC Tosno,113704
Guizhou Hengfeng FC,112977
Itagüí Leones FC,112970
Nueva Chicago,112925
Ohod Club,113219
Tigres FC,112968
UCAM Murcia CF,113216
UE Llagostera,112902
AC Arles Avignon,111989
Al Orobah,112675
Al Qadisiyah,112391
Al Shoulla,112407
All Boys,111717
América de Natal,111704
Athlone Town,111965
Atlético Clube Goianiense,112119
Bohemians 1905,111812
Bohemians Praha,111985
Boyacá Chicó FC,112019
Bruk-Bet Termalica Nieciecza,112510
CA Bastia,112549
CD Guadalajara,111827
CD Trofense,111984
CF Indios,111666
Club Polideportivo Granada 74,111810
Cobh Ramblers,111932
Deportes Quindío,112525
Deportivo San Marcos de Arica,112586
Deportivo Ñublense,112585
FC Arouca,112513
FC Hradec Králové,112236
FC Orenburg,112261
FC Vestsjælland,112424
FK Ústí nad Labem,112235
GAIS,111594
Gallipoli,112107
Gold Coast United,112078
Grêmio Barueri,112077
Gubbio,112281
IF Brommapojkarna,111705
Ipatinga,111929
Jönköpings Södra IF,112130
Ljungskile SK,111959
Mantova,111433
Mjällby AIF,112072
Najran SC,112395
Nocera Inferiore,112282
North Queensland Fury FC,112079
Omiya Ardija,112345
Portogruaro Calcio ASD,112231
Rangers de Talca,112110
Ravenna,111802
SC Olhanense,111540
SK Kladno,111720
SV Grödig,112022
San Luis de Quillota,112668
Sandecja Nowy Sącz,112508
Sandnes Ulf,112374
Sporting Fingal,111967
Syrianska,112267
US Quevilly Rouen Métropole,112552
União da Madeira,112517
V-Varen Nagasaki,112448
Varese,112237
Volga Nizhny Novgorod,112217
Wexford Youths,111968
Zawisza Bydgoszcz,112512
1. FC Brno,110467
1. FC Slovácko,100149
1. FK Příbram,100145
AFC Tubize,110306
Akhisar Belediyespor,111340
Alaniya Vladikavkaz,110230
Ankaraspor,101008
Arsenal Tula,110756
Atlético de Rafaela,110392
Baník Ostrava,110464
C.D. Castellón,100852
CD Alcoyano,110833
CD Cobreloa,110979
Estudiantes Tecos,110780
FC Cartagena,100851
FC Dordrecht,100626
FC Khimki,110239
FC Libourne-Saint-Seurin,110318
FC Moskva,110229
FC Penafiel,100741
FC Schaffhausen,100994
FC Tom Tomsk,110233
FK Baumit Jablonec,100142
FK SIAD Most,111374
GKS Bełchatów,110744
Gefle IF,111277
Gretna,111206
Guarani,111049
Górnik Łęczna,110565
Hacettepe SK,110775
Juventude,111041
Kocaelispor,101032
Mamelodi Sundowns FC,110935
Mladá Boleslav,110472
Mordovia Saransk,110106
Naval 1° de Maio,100737
Paraná,111048
Podbeskidzie Bielsko-Biała,111087
Polonia Bytom,111429
Portuguesa de Desportos,111292
Quilmes Atlético Club,110554
Racing de Ferrol,110242
Real Unión Club Irún,100882
Rimini,111432
Rubin Kazan,110227
SC Wiener Neustadt,111373
SKA Khabarovsk,110101
Santo André,111293
Saturn Ramenskoye,110225
Serbia,110082
Sibir Novosibirsk,111266
Slovan Liberec,100143
Spartak Nalchik,110103
Tescoma Zlín,110466
Torpedo Moscow,100768
TuS Koblenz,110526
UD Vecindario,100947
US Boulogne Cote D'Opale,111376
Viktoria Žižkov,110465
